序号,性别,评论内容,回复数,点赞数,情感得分,情感分类,情感加权
1,男,看到这评论请点赞提醒我去喝水，我每天经常忘记喝水[tv_白眼],190,1084,0.09100060429960122,负面,98.64465506076772
2,男,喝水（海皇喊麦）,0,4,0.6666784732546072,正面,2.6667138930184286
3,女,喝水~,0,0,0.22417061239571323,负面,0.0
4,男,回复 @_大莴苣_ :好的,0,2,0.19413779657127417,负面,0.38827559314254834
5,男,回复 @宇曾昱宇_ :在喝了,0,2,0.3847359926831123,负面,0.7694719853662246
6,女,再喝一杯[脱单doge],0,0,0.11786901049160547,负面,0.0
7,女,喝水，我也去喝水,0,0,0.06658014997811257,负面,0.0
8,男,回复 @树生Mellifluous :在喝,0,1,0.7799332844862316,正面,0.7799332844862316
9,男,回复 @风伴故人离 :在喝了,0,1,0.34024309362287775,负面,0.34024309362287775
10,女,大郎，该喝水了～[doge],0,1,0.18975846907490534,负面,0.18975846907490534
11,男,回复 @晓朝怨涨喵喵喵 :喝了,0,0,0.9660262249657249,正面,0.0
12,男,回复 @濯尘尘尘尘尘 :在喝了,0,0,0.9996475217730467,正面,0.0
13,男,回复 @小龙家的林女仆阝 :喝不下了[大哭],0,2,0.8051952256290698,正面,1.6103904512581395
14,男,回复 @小龙家的林女仆阝 :喝撑了[大哭],0,3,0.9315321289042325,正面,2.7945963867126977
15,男,看到我再喝3杯水[doge],0,1,0.06432062596740029,负面,0.06432062596740029
16,男,回复 @不想取新名了A :一瓶双萃喝完了,0,0,0.16383458193689393,负面,0.0
17,男,去！喝！水！（喝温的！）,0,0,0.06779815855538485,负面,0.0
18,男,回复 @童童的小方布 :好的,0,0,0.5406867040980188,中性,0.0
19,男,回复 @鬼畜的贝壳 :[艾恺特收藏集_亲亲！],0,0,0.9624939542645521,正面,0.0
20,男,喝水ww,0,0,0.2064345222111218,负面,0.0
21,男,回复 @树生Mellifluous :好,0,0,0.914782039089602,正面,0.0
22,男,回复 @愉不是小鱼干 :OK,0,1,0.76537540792846,正面,0.76537540792846
23,男,回复 @枫楠小生 :喝了,0,0,0.8935890733545762,正面,0.0
24,男,回复 @摆烂的龙鱼 :喝了,0,0,0.27987363407661126,负面,0.0
25,男,回复 @twentytwo-an :喝了,0,0,0.08750622804916552,负面,0.0
26,男,回复 @颗Ateam :好的,0,0,0.48499548537654635,中性,0.0
27,男,回复 @施云姝 :好的,0,0,0.7355878270146914,正面,0.0
28,男,朋友该喝水了，别喝太多[微笑],0,1,0.23785381107355108,负面,0.23785381107355108
29,男,渴了会想起来的,0,0,0.7013421583212532,正面,0.0
30,男,回复 @官陵-马尧 :好,0,0,0.5406867040980188,中性,0.0
31,男,回复 @新朋友seek :好的,0,0,0.7519603643390247,正面,0.0
32,男,回复 @洛鹆鸢 :OK,0,1,0.15637597999688202,负面,0.15637597999688202
33,女,喝水,0,0,0.22417061239571323,负面,0.0
34,女,该喝水了[doge],0,0,0.2064345222111218,负面,0.0
35,男,回复 @凛咫 :喝了,0,0,0.30152194847222913,负面,0.0
36,男,回复 @芝芝ziziuu :喝了,0,0,0.5377857316999453,中性,0.0
37,男,回复 @小黎栗栗 :好,0,0,0.5145158950258719,中性,0.0
38,男,喝水[喜欢],0,0,0.3771108650090693,负面,0.0
39,女,快去喝水,0,0,0.3841812048459582,负面,0.0
40,男,忘记喝水？,0,0,0.33511189026463106,负面,0.0
41,男,喝水,0,0,0.22417061239571323,负面,0.0
42,女,喝水去,0,0,0.7400525418989933,正面,0.0
43,男,回复 @一只沉默的黄瓜 :好,0,0,0.5898781188626812,中性,0.0
44,男,回复 @耿秋云 :喝了,0,0,0.934084045088978,正面,0.0
45,男,回复 @鬼灯満月 :ok,0,0,0.3818262672772853,负面,0.0
46,男,回复 @Tree-Black-BG :渴到不行才想起来[热],0,0,0.023621760569785488,负面,0.0
47,男,回复 @西奥giao :好,0,0,0.887908028661079,正面,0.0
