序号,性别,评论内容,回复数,点赞数
1,男,看到这评论请点赞提醒我去喝水，我每天经常忘记喝水[tv_白眼],190,1084
2,男,喝水（海皇喊麦）,0,4
3,女,喝水~,0,0
4,男,回复 @_大莴苣_ :好的,0,2
5,男,回复 @宇曾昱宇_ :在喝了,0,2
6,女,再喝一杯[脱单doge],0,0
7,女,喝水，我也去喝水,0,0
8,男,回复 @树生Mellifluous :在喝,0,1
9,男,回复 @风伴故人离 :在喝了,0,1
10,女,大郎，该喝水了～[doge],0,1
11,男,回复 @晓朝怨涨喵喵喵 :喝了,0,0
12,男,回复 @濯尘尘尘尘尘 :在喝了,0,0
13,男,回复 @小龙家的林女仆阝 :喝不下了[大哭],0,2
14,男,回复 @小龙家的林女仆阝 :喝撑了[大哭],0,3
15,男,看到我再喝3杯水[doge],0,1
16,男,回复 @不想取新名了A :一瓶双萃喝完了,0,0
17,男,去！喝！水！（喝温的！）,0,0
18,男,回复 @童童的小方布 :好的,0,0
19,男,回复 @鬼畜的贝壳 :[艾恺特收藏集_亲亲！],0,0
20,男,喝水ww,0,0
21,男,回复 @树生Mellifluous :好,0,0
22,男,回复 @愉不是小鱼干 :OK,0,1
23,男,回复 @枫楠小生 :喝了,0,0
24,男,回复 @摆烂的龙鱼 :喝了,0,0
25,男,回复 @twentytwo-an :喝了,0,0
26,男,回复 @颗Ateam :好的,0,0
27,男,回复 @施云姝 :好的,0,0
28,男,朋友该喝水了，别喝太多[微笑],0,1
29,男,渴了会想起来的,0,0
30,男,回复 @官陵-马尧 :好,0,0
31,男,回复 @新朋友seek :好的,0,0
32,男,回复 @洛鹆鸢 :OK,0,1
33,女,喝水,0,0
34,女,该喝水了[doge],0,0
35,男,回复 @凛咫 :喝了,0,0
36,男,回复 @芝芝ziziuu :喝了,0,0
37,男,回复 @小黎栗栗 :好,0,0
38,男,喝水[喜欢],0,0
39,女,快去喝水,0,0
40,男,忘记喝水？,0,0
41,男,喝水,0,0
42,女,喝水去,0,0
43,男,回复 @一只沉默的黄瓜 :好,0,0
44,男,回复 @耿秋云 :喝了,0,0
45,男,回复 @鬼灯満月 :ok,0,0
46,男,回复 @Tree-Black-BG :渴到不行才想起来[热],0,0
47,男,回复 @西奥giao :好,0,0
48,男,回复 @微冰奶绿 :好,0,0
49,男,回复 @云淡枫倾_ :好[OK],0,0
50,女,快喝水,0,0
51,男,回复 @某只中二柠捏 :好的,0,0
